Timestamp,Open,High,Low,Close
2022-03-24,0.5,0.5,0.5,0.5,
2022-03-25,0.53,0.53,0.53,0.53,
2022-03-28,0.6,0.6,0.6,0.6,
2022-03-29,0.56,0.56,0.56,0.56,
2022-03-30,0.55,0.55,0.55,0.55,
2022-03-31,0.51,0.51,0.51,0.51,
2022-04-01,0.52,0.52,0.52,0.52,
2022-04-04,0.67,0.67,0.67,0.67,
2022-04-05,0.65,0.65,0.65,0.65,
2022-04-06,0.67,0.67,0.67,0.67,
2022-04-07,0.68,0.68,0.68,0.68,
2022-04-08,0.69,0.69,0.69,0.69,
2022-04-11,0.78,0.78,0.78,0.78,
2022-04-12,0.74,0.74,0.74,0.74,
2022-04-13,0.75,0.75,0.75,0.75,
2022-04-14,0.78,0.78,0.78,0.78,
2022-04-18,0.82,0.82,0.82,0.82,
2022-04-19,0.82,0.82,0.82,0.82,
2022-04-20,0.82,0.82,0.82,0.82,
2022-04-21,0.82,0.82,0.82,0.82,
2022-04-22,0.82,0.82,0.82,0.82,
2022-04-25,0.93,0.93,0.93,0.93,
2022-04-26,0.84,0.84,0.84,0.84,
2022-04-27,0.82,0.82,0.82,0.82,
2022-04-28,0.81,0.81,0.81,0.81,
2022-04-29,0.83,0.83,0.83,0.83,
2022-05-02,0.9,0.9,0.9,0.9,
2022-05-03,0.9,0.9,0.9,0.9,
2022-05-04,0.88,0.88,0.88,0.88,
2022-05-05,0.84,0.84,0.84,0.84,
2022-05-06,0.84,0.84,0.84,0.84,
2022-05-09,0.92,0.92,0.92,0.92,
2022-05-10,0.89,0.89,0.89,0.89,
2022-05-11,0.9,0.9,0.9,0.9,
2022-05-12,0.95,0.95,0.95,0.95,
2022-05-13,1.01,1.01,1.01,1.01,
2022-05-16,1.07,1.07,1.07,1.07,
2022-05-17,1.06,1.06,1.06,1.06,
2022-05-18,1.02,1.02,1.02,1.02,
2022-05-19,1.04,1.04,1.04,1.04,
2022-05-20,1.01,1.01,1.01,1.01,
2022-05-23,1.07,1.07,1.07,1.07,
2022-05-24,1.05,1.05,1.05,1.05,
2022-05-25,1.05,1.05,1.05,1.05,
2022-05-26,1.06,1.06,1.06,1.06,
2022-05-27,1.06,1.06,1.06,1.06,
2022-05-31,1.13,1.13,1.13,1.13,
2022-06-01,1.12,1.12,1.12,1.12,
2022-06-02,1.13,1.13,1.13,1.13,
2022-06-03,1.17,1.17,1.17,1.17,
2022-06-06,1.23,1.23,1.23,1.23,
